;great;people;thank_you;big;job;china;joe;country;fake_news;state;military;endorsement;good;vets;sleepy;transit;media;trump;bad;history;american;states;tom;world;help;pennsylvania;vote;coronavirus;crazy;republican;congressman;federal;election;second_amendment;president;obamagate;usa;mike;love;lamestream;maga;obama;testing;work;ballots;border;incredible;political;proud;win;left;governor;united;national;caught;lost;usdot;foxnews;guy;totally;socalled;coming;administration;republicans;congress;important;george;twitter;news;greatest;funding;white_house;wisconsin;corrupt;together;michigan;russia;stay;strongly;night;businesses;trying;funds;area;john;california;tonight;biden;supports;soon;democrat;farmers;congratulations;tiffany;borders;badly;act;beat;given;strong
military;0;0;0;0;0;0;0;0;0;0;0;20;2;28;2;0;0;4;0;0;0;0;4;0;6;10;0;0;0;0;12;8;0;16;0;0;0;0;6;0;4;0;0;0;0;2;16;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;2;4;8;0;2;0;0;0;0;0;4;0;0;0;0;2;4;0;10;0;0;0;2;0;0;0;8;2;0;8;0;4;4;2;0;4;0;2
endorsement;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;2;0;0;6;0;4;0;4;16;10;0;4;0;22;0;2;28;0;0;0;4;0;0;4;0;0;2;2;8;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;2;0;0;0;12;0;16;0;0;0;2;0;0;0;12;0;0;8;0;4;6;2;0;0;0;8
good;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;8;0;2;4;2;2;2;2;0;4;0;0;0;2;0;0;0;0;0;0;2;6;0;0;4;4;0;2;0;0;0;2;0;2;2;0;0;0;0;4;2;2;0;2;0;2;0;2;0;0;6;0;0;0;0;0;0;2;0;2;2;4;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
vets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;14;6;0;0;0;20;2;2;20;0;0;0;4;4;0;4;0;0;2;0;4;18;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;12;0;0;0;0;0;0;0;4;0;0;0;0;0;12;0;12;0;0;0;2;0;0;0;16;0;0;10;0;4;6;0;0;2;0;4
sleepy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;2;0;0;0;0;2;0;6;4;0;2;0;0;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;8;2;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0
transit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;12;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;12;0;0;0;0;0;0;2;18;0;0;0;0;4;0;0;0;6;0;0;4;0;12;0;2;0;2;0;0;2;0;0;0;0;14;8;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;2;0;0;26;0;0;2;2;2;0;0;0;2;10;4;0;0;0;2;0;0;0;0;8;0;0;0;2;0;0;2;0;0;0;0;0;0;10;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;0;2;0;0;0;2;4;0;2;0;2;4;0;6;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;2;0;0;0;0;0;8;0;0;0;2;4;0;0;0;0;6;2;0
bad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;2;2;0;0;2;0;2;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;2;0;2;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;2;0;0;4;2;0;2;0;8;4;6;0;0;0;0;4;0;0;2;2;0;16;0;0;0;0;4;0;0;0;0;2;2;0;0;0;6;0;0;2;0;0;0;20;0;2;0;6;2;0;2;0;0;2;0;4;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;0;2;4;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;6;0;0;2;0;2;0;2;2;2;0;0;0;0;2;0;2;2;2;0;2;2;2;2;0;22;2;0;0;0;0;0;2;0;2;2;2;2;0;0;2;4;4;0;0;2;0;2;0;0;0;2;0;0;6;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;2;4;0
tom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;0;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;6;4;0;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;0;6;2;0;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;4;2;14;0;0;0;2;2;4
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;6;0;2;0;0;0;0;0;2;0;4;0;0;4;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;6;0;4;0;0;2;0;0;0;0;0;2;2;0;4;4;0;4;0;0;4;0;2;0;2;10;2;0;0;0;2;0;2;4;2;0;0;0;0;2;0;8;0;0;0;0;0;0;2;0;0;6;2;0;0;0;0;4;2;0;4;0;8;0;0;0;0;0;4
pennsylvania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;14;2;0;2;2;2;0;4;0;0;2;0;0;10;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;2;0;0;2;8;2;0;2;0;0;4;0;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;4;0;0;2;8;0;0;0;2;0;0;2;6;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;6;0;0;0;0;0;6
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;2;2;2;0;0;0;4;0;0;2;0;0;0;0;0;2;2;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
crazy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;2;0;0;4;2;2;0;0;4;0;2;2;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;4;0;0;2;0;0;0;0;4;0;2;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;4;0;4;0;4;0;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;4;0;0;6;0;0;2;0;2;0;2;0;0
congressman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;2;0;2;4;0;0;2;2;0;2;0;0;10;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;10;0;8;0;0;0;2;0;0;0;10;0;0;6;2;2;6;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;8;2;0;2;0;2;0;4;4;0;0;0;0;0;2;2;0;4;0;0;2;0;6;0;0;0;2;0;0;2;0;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;0;2;2;0;2;10;0;6;0;6;0;0;2;0;6;0;0;0;0;2;2;0;0;0
second_amendment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;12;0;10;0;0;0;2;0;0;0;12;0;0;6;0;4;4;0;0;0;0;8
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;2;0;4;0;0;4;0;2;0;0;0;0;0;2;2;0;2;0;2;2;0;0;6;0;6;0;2;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;2;2;0;0;2;0;2;0;0
obamagate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;8;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
mike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;2;2;0;2;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;2;0;0;0;2;2;2;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0
lamestream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;8;4;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;10;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
maga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;6;0;0;0;0;0;0;0;6;2;0;0;0;2;0;6;0;0;0;0;2;2;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;6;0;0;2;2;0;0;0;10;2;0;0;0;2;0;0;0;2;0;2;0;0;4;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;4;0;0;2;2;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
ballots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;6;2;6;0;8;0;0;0;0;6;0;0;0;0;4;2;0;0;0
border;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;4;0;0;0;0;12
incredible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;10;0;0;8;0;4;2;0;0;0;0;0
political;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;10;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;6;0;0;0;0;12;0;2;0;4;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;2;2;0;0;6;2;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;2;2;0;6;0;0;4;0;0;2;0;0;2;2;2;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;4;0;0;4;0;0;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;6;0;0;0;2;10;0;2;0;0;0;0;0;4;0
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;4;4;0;0;2;0;2;0;0;0;2;0;0;6;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;2;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0
caught;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
lost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
usdot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
foxnews;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;0
guy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0
totally;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;8;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0
socalled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0
coming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;4;0;6;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
republicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;2;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;8;0;2;4;0;6;0;0;0;0;0;2
